title,abstract,year
marginal distance and hilbert-schmidt covariances-based independence tests for multivariate functional data,"we study the pairwise and mutual independence testing problem for multivariate functional data. using a basis representation of functional data, we reduce this problem to testing the independence of multivariate data, which may be high-dimensional. for pairwise independence, we apply tests based on distance and hilbert-schmidt covariances as well as their marginal versions, which aggregate these covariances for coordinates of random processes. in the case of mutual independence, we study asymmetric and symmetric aggregating measures of pairwise dependence. a theoretical justification of the test procedures is established. in extensive simulation studies and examples based on a real economic data set, we investigate and compare the performance of the tests in terms of size control and power. an important finding is that tests based on distance and hilbert-schmidt covariances are usually more powerful than their marginal versions under linear dependence, while the reverse is true under non-linear dependence.",2022
agent-based modeling for predicting pedestrian trajectories around an autonomous vehicle,"this paper addresses modeling and simulating pedestrian trajectories when interacting with an autonomous vehicle in a shared space. most pedestrian–vehicle interaction models are not suitable for predicting individual trajectories. data-driven models yield accurate predictions but lack generalizability to new scenarios, usually do not run in real time and produce results that are poorly explainable. current expert models do not deal with the diversity of possible pedestrian interactions with the vehicle in a shared space and lack microscopic validation. we propose an expert pedestrian model that combines the social force model and a new decision model for anticipating pedestrian–vehicle interactions. the proposed model integrates different observed pedestrian behaviors, as well as the behaviors of the social groups of pedestrians, in diverse interaction scenarios with a car. we calibrate the model by fitting the parameters values on a training set. we validate the model and evaluate its predictive potential through qualitative and quantitative comparisons with ground truth trajectories. the proposed model reproduces observed behaviors that have not been replicated by the social force model and outperforms the social force model at predicting pedestrian behavior around the vehicle on the used dataset. the model generates explainable and real-time trajectory predictions. additional evaluation on a new dataset shows that the model generalizes well to new scenarios and can be applied to an autonomous vehicle embedded prediction.",2022
adversarial framework with certified robustness for time-series domain via statistical features,"time-series data arises in many real-world applications (e.g., mobile health) and deep neural networks (dnns) have shown great success in solving them. despite their success, little is known about their robustness to adversarial attacks. in this paper, we propose a novel adversarial framework referred to as time-series attacks via statistical features (tsa-stat). to address the unique challenges of time-series domain, tsa-stat employs constraints on statistical features of the time-series data to construct adversarial examples. optimized polynomial transformations are used to create attacks that are more effective (in terms of successfully fooling dnns) than those based on additive perturbations. we also provide certified bounds on the norm of the statistical features for constructing adversarial examples. our experiments on diverse real-world benchmark datasets show the effectiveness of tsa-stat in fooling dnns for time-series domain and in improving their robustness.",2022
a logic-based explanation generation framework for classical and hybrid planning problems,"in human-aware planning systems, a planning agent might need to explain its plan to a human user when that plan appears to be non-feasible or sub-optimal. a popular approach, called model reconciliation, has been proposed as a way to bring the model of the human user closer to the agent’s model. to do so, the agent provides an explanation that can be used to update the model of human such that the agent’s plan is feasible or optimal to the human user. existing approaches to solve this problem have been based on automated planning methods and have been limited to classical planning problems only. in this paper, we approach the model reconciliation problem from a different perspective, that of knowledge representation and reasoning, and demonstrate that our approach can be applied not only to classical planning problems but also hybrid systems planning problems with durative actions and events/processes. in particular, we propose a logic-based framework for explanation generation, where given a knowledge base kba (of an agent) and a knowledge base kbh (of a human user), each encoding their knowledge of a planning problem, and that kba entails a query q (e.g., that a proposed plan of the agent is valid), the goal is to identify an explanation ε ⊆ kba such that when it is used to update kbh, then the updated kbh also entails q. more specifically, we make the following contributions in this paper: (1) we formally define the notion of logic-based explanations in the context of model reconciliation problems; (2) we introduce a number of cost functions that can be used to reflect preferences between explanations; (3) we present algorithms to compute explanations for both classical planning and hybrid systems planning problems; and (4) we empirically evaluate their performance on such problems. our empirical results demonstrate that, on classical planning problems, our approach is faster than the state of the art when the explanations are long or when the size of the knowledge base is small (e.g., the plans to be explained are short). they also demonstrate that our approach is efficient for hybrid systems planning problems. finally, we evaluate the real-world efficacy of explanations generated by our algorithms through a controlled human user study, where we develop a proof-of-concept visualization system and use it as a medium for explanation communication.",2022
multilingual machine translation: deep analysis of language-specific encoder-decoders,"state-of-the-art multilingual machine translation relies on a shared encoder-decoder. in this paper, we propose an alternative approach based on language-specific encoder-decoders, which can be easily extended to new languages by learning their corresponding modules. to establish a common interlingua representation, we simultaneously train n initial languages. our experiments show that the proposed approach improves over the shared encoder-decoder for the initial languages and when adding new languages, without the need to retrain the remaining modules. all in all, our work closes the gap between shared and language-specific encoder-decoders, advancing toward modular multilingual machine translation systems that can be flexibly extended in lifelong learning settings.",2022
ffci: a framework for interpretable automatic evaluation of summarization,"in this paper, we propose ffci, a framework for fine-grained summarization evaluation that comprises four elements: faithfulness (degree of factual consistency with the source), focus (precision of summary content relative to the reference), coverage (recall of summary content relative to the reference), and inter-sentential coherence (document fluency between adjacent sentences). we construct a novel dataset for focus, coverage, and inter-sentential coherence, and develop automatic methods for evaluating each of the four dimensions of ffci based on cross-comparison of evaluation metrics and model-based evaluation methods, including question answering (qa) approaches, semantic textual similarity (sts), next-sentence prediction (nsp), and scores derived from 19 pre-trained language models. we then apply the developed metrics in evaluating a broad range of summarization models across two datasets, with some surprising findings.",2022
optimizing for interpretability in deep neural networks with tree regularization,"deep models have advanced prediction in many domains, but their lack of interpretability remains a key barrier to the adoption in many real world applications. there exists a large body of work aiming to help humans understand these black box functions to varying levels of granularity – for example, through distillation, gradients, or adversarial examples. these methods however, all tackle interpretability as a separate process after training. in this work, we take a different approach and explicitly regularize deep models so that they are well-approximated by processes that humans can step through in little time. specifically, we train several families of deep neural networks to resemble compact, axis-aligned decision trees without significant compromises in accuracy. the resulting axis-aligned decision functions uniquely make tree regularized models easy for humans to interpret. moreover, for situations in which a single, global tree is a poor estimator, we introduce a regional tree regularizer that encourages the deep model to resemble a compact, axis-aligned decision tree in predefined, human-interpretable contexts. using intuitive toy examples, benchmark image datasets, and medical tasks for patients in critical care and with hiv, we demonstrate that this new family of tree regularizers yield models that are easier for humans to simulate than l1 or l2 penalties without sacrificing predictive power.",2021
a semi-exact algorithm for quickly computing a maximum weight clique in large sparse graphs,"this paper explores techniques to quickly solve the maximum weight clique problem (mwcp) in very large scale sparse graphs. due to their size, and the hardness of mwcp, it is infeasible to solve many of these graphs with exact algorithms. although recent heuristic algorithms make progress in solving mwcp in large graphs, they still need considerable time to get a high-quality solution. in this work, we focus on solving mwcp for large sparse graphs within a short time limit. we propose a new method for mwcp which interleaves clique finding with data reduction rules. we propose novel ideas to make this process efficient, and develop an algorithm called fastwclq. experiments on a broad range of large sparse graphs show that fastwclq finds better solutions than state-of-the-art algorithms while the running time of fastwclq is much shorter than the competitors for most instances. further, fastwclq proves the optimality of its solutions for roughly half of the graphs, all with at least 105 vertices, with an average time of 21 seconds.",2021
finding the hardest formulas for resolution,"a cnf formula is harder than another cnf formula with the same number of clauses if it requires a longer resolution proof. in this paper we introduce resolution hardness numbers; they give for m=1,2,... the length of a shortest proof of a hardest formula on m clauses. we compute the first ten resolution hardness numbers, along with the corresponding hardest formulas. to achieve this, we devise a candidate filtering and symmetry breaking search scheme for limiting the number of potential candidates for hardest for- mulas, and an efficient sat encoding for computing a shortest resolution proof of a given candidate formula.",2021
worst-case bounds on power vs. proportion in weighted voting games with an application to false-name manipulation,"weighted voting games apply to a wide variety of multi-agent settings. they enable the formalization of power indices which quantify the coalitional power of players. we take a novel approach to the study of the power of big vs. small players in these games. we model small (big) players as having single (multiple) votes. the aggregate relative power of big players is measured w.r.t. their votes proportion. for this ratio, we show small constant worst-case bounds for the shapley-shubik and the deegan-packel indices. in sharp contrast, this ratio is unbounded for the banzhaf index. as an application, we define a false-name strategic normal form game where each big player may split its votes between false identities, and study its various properties. together, our results provide foundations for the implications of players’ size, modeled as their ability to split, on their relative power.",2021
on the computational complexity of non-dictatorial aggregation,"we investigate when non-dictatorial aggregation is possible from an algorithmic perspective, where non-dictatorial aggregation means that the votes cast by the members of a society can be aggregated in such a way that there is no single member of the society that always dictates the collective outcome. we consider the setting in which the members of a society take a position on a fixed collection of issues, where for each issue several different alternatives are possible, but the combination of choices must belong to a given set x of allowable voting patterns. such a set x is called a possibility domain if there is an aggregator that is non-dictatorial, operates separately on each issue, and returns values among those cast by the society on each issue. we design a polynomial-time algorithm that decides, given a set x of voting patterns, whether or not x is a possibility domain. furthermore, if x is a possibility domain, then the algorithm constructs in polynomial time a non-dictatorial aggregator for x. furthermore, we show that the question of whether a boolean domain x is a possibility domain is in nlogspace. we also design a polynomial-time algorithm that decides whether x is a uniform possibility domain, that is, whether x admits an aggregator that is non-dictatorial even when restricted to any two positions for each issue. as in the case of possibility domains, the algorithm also constructs in polynomial time a uniform non-dictatorial aggregator, if one exists. then, we turn our attention to the case where x is given implicitly, either as the set of assignments satisfying a propositional formula, or as a set of consistent evaluations of a sequence of propositional formulas. in both cases, we provide bounds to the complexity of deciding if x is a (uniform) possibility domain. finally, we extend our results to four types of aggregators that have appeared in the literature: generalized dictatorships, whose outcome is always an element of their input, anonymous aggregators, whose outcome is not affected by permutations of their input, monotone, whose outcome does not change if more individuals agree with it and systematic, which aggregate every issue in the same way.",2021
pure nash equilibria in resource graph games,"this paper studies the existence of pure nash equilibria in resource graph games, a general class of strategic games succinctly representing the players’ private costs. these games are defined relative to a finite set of resources and the strategy set of each player corresponds to a set of subsets of resources. the cost of a resource is an arbitrary function of the load vector of a certain subset of resources. as our main result, we give complete characterizations of the cost functions guaranteeing the existence of pure nash equilibria for weighted and unweighted players, respectively. for unweighted players, pure nash equilibria are guaranteed to exist for any choice of the players’ strategy space if and only if the cost of each resource is an arbitrary function of the load of the resource itself and linear in the load of all other resources where the linear coefficients of mutual influence of different resources are symmetric. this implies in particular that for any other cost structure there is a resource graph game that does not have a pure nash equilibrium. for weighted games where players have intrinsic weights and the cost of each resource depends on the aggregated weight of its users, pure nash equilibria are guaranteed to exist if and only if the cost of a resource is linear in all resource loads, and the linear factors of mutual influence are symmetric, or there is no interaction among resources and the cost is an exponential function of the local resource load. we further discuss the computational complexity of pure nash equilibria in resource graph games showing that for unweighted games where pure nash equilibria are guaranteed to exist, it is conp-complete to decide for a given strategy profile whether it is a pure nash equilibrium. for general resource graph games, we prove that the decision whether a pure nash equilibrium exists is σ p 2 -complete.",2021
a theoretical perspective on hyperdimensional computing,"hyperdimensional (hd) computing is a set of neurally inspired methods for obtaining highdimensional, low-precision, distributed representations of data. these representations can be combined with simple, neurally plausible algorithms to effect a variety of information processing tasks. hd computing has recently garnered significant interest from the computer hardware community as an energy-efficient, low-latency, and noise-robust tool for solving learning problems. in this review, we present a unified treatment of the theoretical foundations of hd computing with a focus on the suitability of representations for learning.",2021
relevance in belief update,"it has been pointed out by katsuno and mendelzon that the so-called agm revision operators, defined by alchourron, gardenfors and makinson, do not behave well in dynamically-changing applications. on that premise, katsuno and mendelzon formally characterized a different type of belief-change operators, typically referred to as km update operators, which, to this date, constitute a benchmark in belief update. in this article, we show that there exist km update operators that yield the same counter-intuitive results as any agm revision operator. against this non-satisfactory background, we prove that a translation of parikh’s relevance-sensitive axiom (p), in the realm of belief update, suffices to block this liberal behaviour of km update operators. it is shown, both axiomatically and semantically, that axiom (p) for belief update, essentially, encodes a type of relevance that acts at the possible-worlds level, in the context of which each possible world is locally modified, in the light of new information. interestingly, relevance at the possible-worlds level is shown to be equivalent to a form of relevance that acts at the sentential level, by considering the building blocks of relevance to be the sentences of the language. furthermore, we concretely demonstrate that parikh’s notion of relevance in belief update can be regarded as (at least a partial) solution to the frame, ramification and qualification problems, encountered in dynamically-changing worlds. last but not least, a whole new class of well-behaved, relevance-sensitive km update operators is introduced, which generalize forbus’ update operator and are perfectly-suited for real-world implementations.",2021
on quantifying literals in boolean logic and its applications to explainable ai,"quantified boolean logic results from adding operators to boolean logic for existentially and universally quantifying variables. this extends the reach of boolean logic by enabling a variety of applications that have been explored over the decades. the existential quantification of literals (variable states) and its applications have also been studied in the literature. in this paper, we complement this by introducing and studying universal literal quantification and its applications, particularly to explainable ai. we also provide a novel semantics for quantification, discuss the interplay between variable/literal and existential/universal quantification, and identify some classes of boolean formulas and circuits on which quantification can be done efficiently. literal quantification is more fine-grained than variable quantification as the latter can be defined in terms of the former, leading to a refinement of quantified boolean logic with literal quantification as its primitive.",2021
sunny-as2: enhancing sunny for algorithm selection,"sunny is an algorithm selection (as) technique originally tailored for constraint programming (cp). sunny is based on the k-nearest neighbors algorithm and enables one to schedule, from a portfolio of solvers, a subset of solvers to be run on a given cp problem. this approach has proved to be effective for cp problems. in 2015, the aslib benchmarks were released for comparing as systems coming from disparate fields (e.g., asp, qbf, and sat) and sunny was extended to deal with generic as problems. this led to the development of sunny-as, a prototypical algorithm selector based on sunny for aslib scenarios. a major improvement of sunny-as, called sunny-as2, was then submitted to the open algorithm selection challenge (oasc) in 2017, where it turned out to be the best approach for the runtime minimization of decision problems. in this work we present the technical advancements of sunny-as2, by detailing through several empirical evaluations and by providing new insights. its current version, built on the top of the preliminary version submitted to oasc, is able to outperform sunny-as and other state-of-the-art as methods, including those who did not attend the challenge.",2021
a survey of algorithms for black-box safety validation of cyber-physical systems,"autonomous cyber-physical systems (cps) can improve safety and efficiency for safety-critical applications, but require rigorous testing before deployment. the complexity of these systems often precludes the use of formal verification and real-world testing can be too dangerous during development. therefore, simulation-based techniques have been developed that treat the system under test as a black box operating in a simulated environment. safety validation tasks include finding disturbances in the environment that cause the system to fail (falsification), finding the most-likely failure, and estimating the probability that the system fails. motivated by the prevalence of safety-critical artificial intelligence, this work provides a survey of state-of-the-art safety validation techniques for cps with a focus on applied algorithms and their modifications for the safety validation problem. we present and discuss algorithms in the domains of optimization, path planning, reinforcement learning, and importance sampling. problem decomposition techniques are presented to help scale algorithms to large state spaces, which are common for cps. a brief overview of safety-critical applications is given, including autonomous vehicles and aircraft collision avoidance systems. finally, we present a survey of existing academic and commercially available safety validation tools.",2021
nlp methods for extraction of symptoms from unstructured data for use in prognostic covid-19 analytic models,"statistical modeling of outcomes based on a patient's presenting symptoms (symptomatology) can help deliver high quality care and allocate essential resources, which is especially important during the covid-19 pandemic. patient symptoms are typically found in unstructured notes, and thus not readily available for clinical decision making. in an attempt to fill this gap, this study compared two methods for symptom extraction from emergency department (ed) admission notes. both methods utilized a lexicon derived by expanding the center for disease control and prevention's (cdc) symptoms of coronavirus list. the first method utilized a word2vec model to expand the lexicon using a dictionary mapping to the uni ed medical language system (umls). the second method utilized the expanded lexicon as a rule-based gazetteer and the umls. these methods were evaluated against a manually annotated reference (f1-score of 0.87 for umls-based ensemble; and 0.85 for rule-based gazetteer with umls). through analyses of associations of extracted symptoms used as features against various outcomes, salient risks among the population of covid-19 patients, including increased risk of in-hospital mortality (or 1.85, p-value &lt; 0.001), were identified for patients presenting with dyspnea. disparities between english and non-english speaking patients were also identified, the most salient being a concerning finding of opposing risk signals between fatigue and in-hospital mortality (non-english: or 1.95, p-value = 0.02; english: or 0.63, p-value = 0.01). while use of symptomatology for modeling of outcomes is not unique, unlike previous studies this study showed that models built using symptoms with the outcome of in-hospital mortality were not significantly different from models using data collected during an in-patient encounter (auc of 0.9 with 95% ci of [0.88, 0.91] using only vital signs; auc of 0.87 with 95% ci of [0.85, 0.88] using only symptoms). these findings indicate that prognostic models based on symptomatology could aid in extending covid-19 patient care through telemedicine, replacing the need for in-person options. the methods presented in this study have potential for use in development of symptomatology-based models for other diseases, including for the study of post-acute sequelae of covid-19 (pasc).",2021
optimal any-angle pathfinding on a sphere,"pathfinding in euclidean space is a common problem faced in robotics and computer games. for long-distance navigation on the surface of the earth or in outer space however, approximating the geometry as euclidean can be insufficient for real-world applications such as the navigation of spacecraft, aeroplanes, drones and ships. this article describes an any-angle pathfinding algorithm for calculating the shortest path between point pairs over the surface of a sphere. introducing several novel adaptations, it is shown that anya as described by harabor &amp; grastien for euclidean space can be extended to spherical geometry. there, where the shortest-distance line between coordinates is defined instead by a great-circle path, the optimal solution is typically a curved line in euclidean space. in addition the turning points for optimal paths in spherical geometry are not necessarily corner points as they are in euclidean space, as will be shown, making further substantial adaptations to anya necessary. spherical anya returns the optimal path on the sphere, given these different properties of world maps defined in spherical geometry. it preserves all primary benefits of anya in euclidean geometry, namely the spherical anya algorithm always returns an optimal path on a sphere and does so entirely on-line, without any preprocessing or large memory overheads. performance benchmarks are provided for several game maps including starcraft and warcraft iii as well as for sea navigation on earth using the noaa bathymetric dataset. always returning the shorter path compared with the euclidean approximation yielded by anya, spherical anya is shown to be faster than anya for the majority of sea routes and slower for game maps and random maps.",2021
optimally deceiving a learning leader in stackelberg games,"recent results have shown that algorithms for learning the optimal commitment in a stackelberg game are susceptible to manipulation by the follower. these learning algorithms operate by querying the best responses of the follower, who consequently can deceive the algorithm by using fake best responses, typically by responding according to fake payoffs that are different from the actual ones. for this strategic behavior to be successful, the main challenge faced by the follower is to pinpoint the fake payoffs that would make the learning algorithm output a commitment that benefits them the most. while this problem has been considered before, the related literature has only focused on a simple setting where the follower can only choose from a finite set of payoff matrices, thus leaving the general version of the problem unanswered. in this paper, we fill this gap by showing that it is always possible for the follower to efficiently compute (near-)optimal fake payoffs, for various scenarios of learning interaction between the leader and the follower. our results also establish an interesting connection between the follower’s deception and the leader’s maximin utility: through deception, the follower can induce almost any (fake) stackelberg equilibrium if and only if the leader obtains at least their maximin utility in this equilibrium.",2021
contrastive explanations of plans through model restrictions,"in automated planning, the need for explanations arises when there is a mismatch between a proposed plan and the user’s expectation. we frame explainable ai planning as an iterative plan exploration process, in which the user asks a succession of contrastive questions that lead to the generation and solution of hypothetical planning problems that are restrictions of the original problem. the object of the exploration is for the user to understand the constraints that govern the original plan and, ultimately, to arrive at a satisfactory plan. we present the results of a user study that demonstrates that when users ask questions about plans, those questions are usually contrastive, i.e. “why a rather than b?”. we use the data from this study to construct a taxonomy of user questions that often arise during plan exploration. our approach to iterative plan exploration is a process of successive model restriction. each contrastive user question imposes a set of constraints on the planning problem, leading to the construction of a new hypothetical planning problem as a restriction of the original. solving this restricted problem results in a plan that can be compared with the original plan, admitting a contrastive explanation. we formally define model-based compilations in pddl2.1 for each type of constraint derived from a contrastive user question in the taxonomy, and empirically evaluate the compilations in terms of computational complexity. the compilations were implemented as part of an explanation framework supporting iterative model restriction. we demonstrate its benefits in a second user study.",2021
multilabel classification with partial abstention: bayes-optimal prediction under label independence,"in contrast to conventional (single-label) classification, the setting of multilabel classification (mlc) allows an instance to belong to several classes simultaneously. thus, instead of selecting a single class label, predictions take the form of a subset of all labels. in this paper, we study an extension of the setting of mlc, in which the learner is allowed to partially abstain from a prediction, that is, to deliver predictions on some but not necessarily all class labels. this option is useful in cases of uncertainty, where the learner does not feel confident enough on the entire label set. adopting a decision-theoretic perspective, we propose a formal framework of mlc with partial abstention, which builds on two main building blocks: first, the extension of underlying mlc loss functions so as to accommodate abstention in a proper way, and second the problem of optimal prediction, that is, finding the bayes-optimal prediction minimizing this generalized loss in expectation. it is well known that different (generalized) loss functions may have different risk-minimizing predictions, and finding the bayes predictor typically comes down to solving a computationally complexity optimization problem. in the most general case, given a prediction of the (conditional) joint distribution of possible labelings, the minimizer of the expected loss needs to be found over a number of candidates which is exponential in the number of class labels. we elaborate on properties of risk minimizers for several commonly used (generalized) mlc loss functions, show them to have a specific structure, and leverage this structure to devise efficient methods for computing bayes predictors. experimentally, we show mlc with partial abstention to be effective in the sense of reducing loss when being allowed to abstain.",2021
output space entropy search framework for multi-objective bayesian optimization,"we consider the problem of black-box multi-objective optimization (moo) using expensive function evaluations (also referred to as experiments), where the goal is to approximate the true pareto set of solutions by minimizing the total resource cost of experiments. for example, in hardware design optimization, we need to find the designs that trade-off performance, energy, and area overhead using expensive computational simulations. the key challenge is to select the sequence of experiments to uncover high-quality solutions using minimal resources. in this paper, we propose a general framework for solving moo problems based on the principle of output space entropy (ose) search: select the experiment that maximizes the information gained per unit resource cost about the true pareto front. we appropriately instantiate the principle of ose search to derive efficient algorithms for the following four moo problem settings: 1) the most basic single-fidelity setting, where experiments are expensive and accurate; 2) handling black-box constraints which cannot be evaluated without performing experiments; 3) the discrete multi-fidelity setting, where experiments can vary in the amount of resources consumed and their evaluation accuracy; and 4) the continuous-fidelity setting, where continuous function approximations result in a huge space of experiments. experiments on diverse synthetic and real-world benchmarks show that our ose search based algorithms improve over state-of-the-art methods in terms of both computational-efficiency and accuracy of moo solutions.",2021
analysis of the impact of randomization of search-control parameters in monte-carlo tree search,"monte-carlo tree search (mcts) has been applied successfully in many domains, including games. however, its performance is not uniform on all domains, and it also depends on how parameters that control the search are set. parameter values that are optimal for a task might be sub-optimal for another. in a domain that tackles many games with different characteristics, like general game playing (ggp), selecting appropriate parameter settings is not a trivial task. games are unknown to the player, thus, finding optimal parameters for a given game in advance is not feasible. previous work has looked into tuning parameter values online, while the game is being played, showing some promising results. this tuning approach looks for optimal parameter values, balancing exploitation of values that performed well so far in the search and exploration of less sampled values. continuously changing parameter values while performing the search, combined also with exploration of multiple values, introduces some randomization in the process. in addition, previous research indicates that adding randomization to certain components of mcts might increase the diversification of the search and improve the performance. therefore, this article investigates the effect of randomly selecting values for mcts search-control parameters online among predefined sets of reasonable values. for the ggp domain, this article evaluates four different online parameter randomization strategies by comparing them with other methods to set parameter values: online parameter tuning, offline parameter tuning and sub-optimal parameter choices. results on a set of 14 heterogeneous abstract games show that randomizing parameter values before each simulation has a positive effect on the search in some of the tested games, with respect to using fixed offline-tuned parameters. moreover, results show a clear distinction between games for which online parameter tuning works best and games for which online randomization works best. in addition, the overall performance of online parameter randomization is closer to the one of online parameter turning than the one of sub-optimal parameter values, showing that online randomization is a reasonable parameter selection strategy. when analyzing the structure of the search trees generated by agents that use the different parameters selection strategies, it is clear that randomization causes mcts to become more explorative, which is helpful for alignment games that present many winning paths in their trees. online parameter tuning, instead, seems more suitable for games that present narrow winning paths and many losing paths.",2021
multi-label classification neural networks with hard logical constraints,"multi-label classification (mc) is a standard machine learning problem in which a data point can be associated with a set of classes. a more challenging scenario is given by hierarchical multi-label classification (hmc) problems, in which every prediction must satisfy a given set of hard constraints expressing subclass relationships between classes. in this article, we propose c-hmcnn(h), a novel approach for solving hmc problems, which, given a network h for the underlying mc problem, exploits the hierarchy information in order to produce predictions coherent with the constraints and to improve performance. furthermore, we extend the logic used to express hmc constraints in order to be able to specify more complex relations among the classes and propose a new model ccn(h), which extends c-hmcnn(h) and is again able to satisfy and exploit the constraints to improve performance. we conduct an extensive experimental analysis showing the superior performance of both c-hmcnn(h) and ccn(h) when compared to state-of-the-art models in both the hmc and the general mc setting with hard logical constraints.",2021
task-aware verifiable rnn-based policies for partially observable markov decision processes,"partially observable markov decision processes (pomdps) are models for sequential decision-making under uncertainty and incomplete information. machine learning methods typically train recurrent neural networks (rnn) as effective representations of pomdp policies that can efficiently process sequential data. however, it is hard to verify whether the pomdp driven by such rnn-based policies satisfies safety constraints, for instance, given by temporal logic specifications. we propose a novel method that combines techniques from machine learning with the field of formal methods: training an rnn-based policy and then automatically extracting a so-called finite-state controller (fsc) from the rnn. such fscs offer a convenient way to verify temporal logic constraints. implemented on a pomdp, they induce a markov chain, and probabilistic verification methods can efficiently check whether this induced markov chain satisfies a temporal logic specification. using such methods, if the markov chain does not satisfy the specification, a byproduct of verification is diagnostic information about the states in the pomdp that are critical for the specification. the method exploits this diagnostic information to either adjust the complexity of the extracted fsc or improve the policy by performing focused retraining of the rnn. the method synthesizes policies that satisfy temporal logic specifications for pomdps with up to millions of states, which are three orders of magnitude larger than comparable approaches.",2021
experimental comparison and survey of twelve time series anomaly detection algorithms,"the existence of an anomaly detection method that is optimal for all domains is a myth. thus, there exists a plethora of anomaly detection methods which increases every year for a wide variety of domains. but a strength can also be a weakness; given this massive library of methods, how can one select the best method for their application? current literature is focused on creating new anomaly detection methods or large frameworks for experimenting with multiple methods at the same time. however, and especially as the literature continues to expand, an extensive evaluation of every anomaly detection method is simply not feasible. to reduce this evaluation burden, we present guidelines to intelligently choose the optimal anomaly detection methods based on the characteristics the time series displays such as seasonality, trend, level change concept drift, and missing time steps. we provide a comprehensive experimental validation and survey of twelve anomaly detection methods over different time series characteristics to form guidelines based on several metrics: the auc (area under the curve), windowed f-score, and numenta anomaly benchmark (nab) scoring model. applying our methodologies can save time and effort by surfacing the most promising anomaly detection methods instead of experimenting extensively with a rapidly expanding library of anomaly detection methods, especially in an online setting.",2021
flexible bayesian nonlinear model configuration,"regression models are used in a wide range of applications providing a powerful scientific tool for researchers from different fields. linear, or simple parametric, models are often not sufficient to describe complex relationships between input variables and a response. such relationships can be better described through flexible approaches such as neural networks, but this results in less interpretable models and potential overfitting. alternatively, specific parametric nonlinear functions can be used, but the specification of such functions is in general complicated. in this paper, we introduce a flexible approach for the construction and selection of highly flexible nonlinear parametric regression models. nonlinear features are generated hierarchically, similarly to deep learning, but have additional flexibility on the possible types of features to be considered. this flexibility, combined with variable selection, allows us to find a small set of important features and thereby more interpretable models. within the space of possible functions, a bayesian approach, introducing priors for functions based on their complexity, is considered. a genetically modified mode jumping markov chain monte carlo algorithm is adopted to perform bayesian inference and estimate posterior probabilities for model averaging. in various applications, we illustrate how our approach is used to obtain meaningful nonlinear models. additionally, we compare its predictive performance with several machine learning algorithms.",2021
graph kernels: a survey,"graph kernels have attracted a lot of attention during the last decade, and have evolved into a rapidly developing branch of learning on structured data. during the past 20 years, the considerable research activity that occurred in the field resulted in the development of dozens of graph kernels, each focusing on specific structural properties of graphs. graph kernels have proven successful in a wide range of domains, ranging from social networks to bioinformatics. the goal of this survey is to provide a unifying view of the literature on graph kernels. in particular, we present a comprehensive overview of a wide range of graph kernels. furthermore, we perform an experimental evaluation of several of those kernels on publicly available datasets, and provide a comparative study. finally, we discuss key applications of graph kernels, and outline some challenges that remain to be addressed.",2021
steady-state planning in expected reward multichain mdps,"the planning domain has experienced increased interest in the formal synthesis of decision-making policies. this formal synthesis typically entails finding a policy which satisfies formal specifications in the form of some well-defined logic. while many such logics have been proposed with varying degrees of expressiveness and complexity in their capacity to capture desirable agent behavior, their value is limited when deriving decision-making policies which satisfy certain types of asymptotic behavior in general system models. in particular, we are interested in specifying constraints on the steady-state behavior of an agent, which captures the proportion of time an agent spends in each state as it interacts for an indefinite period of time with its environment. this is sometimes called the average or expected behavior of the agent and the associated planning problem is faced with significant challenges unless strong restrictions are imposed on the underlying model in terms of the connectivity of its graph structure. in this paper, we explore this steady-state planning problem that consists of deriving a decision-making policy for an agent such that constraints on its steady-state behavior are satisfied. a linear programming solution for the general case of multichain markov decision processes (mdps) is proposed and we prove that optimal solutions to the proposed programs yield stationary policies with rigorous guarantees of behavior.",2021
